id,project,Service,Group,Board,Area,RoadID,CarriageWa,Location,ERP,Side,Position,Class,Fault,Repair,Priority,Comment,Size,Length,Width,Total,Easting,Northing,Latitude,Longitude,FaultTime,Inspector,Inspection,Seq,FaultID,PhotoID
ASM_SH_0520_213,TEST,SL1,STATE HIGHWAY,SH 1,10,3108,3228,018-0006-R2,257,L,3,PVM,Deformation/Shoving (A/C Rd),Structural Asphalt SAC,3,,2x1,2,1,2,1749489.92,5927950.548,-36.782462,174.675285,20/02/2020 11:48,SF,2020_02,213,79,SH1C3_200220_08628
ASM_SH_0520_214,TEST,SL1,STATE HIGHWAY,SH 1,10,3197,8974,018-0007-D,617,R,2,PVM,Ravelling,Mill and Fill,3,,100x2,100,2,200,1748472.071,5927594.767,-36.785828,174.663952,20/02/2020 11:17,SF,2020_02,214,59,SH1C3_200220_05899
ASM_SH_0520_215,TEST,SL1,STATE HIGHWAY,SH 1,10,3197,8974,018-0007-D,986,R,2,PVM,Deformation/Shoving (A/C Rd),Structural Asphalt SAC,3,,10x1,10,1,10,1748143.403,5927424.914,-36.78741,174.660303,20/02/2020 11:17,SF,2020_02,215,58,SH1C3_200220_05869
ASM_SH_0520_216,TEST,SL1,STATE HIGHWAY,SH 1,10,3197,10190,018-0007-D,1147,L,1,PVM,Ravelling,Mill and Fill,2,,20x2,20,2,40,1743893.017,5924645.057,-36.813115,174.61321,20/02/2020 11:40,SF,2020_02,216,77,SH1C3_200220_08026
ASM_SH_0520_217,TEST,SL1,STATE HIGHWAY,SH 1,10,3197,9441,018-0007-D,2473,R,2,MSC,Abandoned TTM,Pickup Abandoned TTM,2,,1,1,,1,1746936.409,5926563.526,-36.79536,174.646947,20/05/2020 11:22,SF,2020_05,217,2218,SH1C3_200520_09409
ASM_SH_0520_218,TEST,SL1,STATE HIGHWAY,SH 1,10,3197,9442,018-0007-D,3985,R,2,PVM,Ravelling,Mill and Fill,3,,10x1,10,1,10,1745641.221,5925780.279,-36.802618,174.632585,20/02/2020 11:15,SF,2020_02,218,56,SH1C3_200220_05627
ASM_SH_0520_219,TEST,SL1,STATE HIGHWAY,SH 1,10,3197,9443,018-0007-D,4216,R,1,PVM,Asphalt Delamination,Mill and Fill,3,,6x3,6,3,18,1745444.743,5925656.565,-36.803763,174.630407,20/05/2020 10:54,SF,2020_05,219,2209,SH1C3_200520_06775
ASM_SH_0520_220,TEST,SL1,STATE HIGHWAY,SH 1,10,3260,9324,018-0010-R2,22,L,1,PVM,Ravelling,Mill and Fill,3,,20x3,20,3,60,1746079.447,5925965.438,-36.800882,174.63746,20/02/2020 12:23,SF,2020_02,220,106,SH1C3_200220_10989
ASM_SH_0520_221,TEST,SL1,STATE HIGHWAY,SH 1,10,3262,9326,018-0010-R4,101,L,2,PVM,Ravelling,Mill and Fill,3,,10x2,10,2,20,1746139.921,5926119.767,-36.799482,174.638108,20/05/2020 11:50,SF,2020_05,221,2227,SH1C3_200520_11531
ASM_SH_0520_222,TEST,SL1,STATE HIGHWAY,SH 1,10,3258,9322,018-0012-R3,15,R,2,PVM,Ravelling,Mill and Fill,3,,3x2,3,2,6,1744376.313,5925163.46,-36.80837,174.618528,20/05/2020 11:49,SF,2020_05,222,2224,SH1C3_200520_11329
ASM_SH_0520_223,TEST,SL1,STATE HIGHWAY,SH 1,10,3136,3850,01N-0373/9.56-D,17015,R,2,PVM,Alligator Cracking (A/C Rd),Mill and Fill,2,,20x3,20,3,60,1748793.983,5949235.944,-36.590767,174.663352,21/02/2020 10:04,SF,2020_02,223,207,SH1C3_200221_01580
ASM_SH_0520_224,TEST,SL1,STATE HIGHWAY,SH 1,10,3136,10198,01N-0373/9.56-D,18148,R,2,PVM,Alligator Cracking (A/C Rd),Mill and Fill,2,,30x2,30,2,60,1748686.822,5948111.095,-36.60092,174.662372,21/02/2020 11:13,SF,2020_02,224,274,SH1C3_200221_08149
ASM_SH_0520_225,TEST,SL1,STATE HIGHWAY,SH 1,10,3136,11162,01N-0373/9.56-D,18781,R,2,PVM,L & T Cracking (Fatigue & Joint),Jointseal,3,,20,20,,20,1748542.037,5947499.698,-36.606452,174.660872,21/02/2020 11:13,SF,2020_02,225,273,SH1C3_200221_08101
